"Fort Albany and Kashechewan First Nation [First Nation/Indian band or Tribal Council area], Ontario (Total - Sex) (Total - Age groups)"
"Topic","Characteristics","Note","Total_Aboriginal_identity(1)","Flag_Total_Aboriginal_identity","Aboriginal_identity(2)","Flag_Aboriginal_identity","Single_Aboriginal_responses(3)","Flag_Single_Aboriginal_responses","First_Nations(4)","Flag_First_Nations","Métis","Flag_Métis","Inuk (Inuit)","Flag_Inuk","Multiple_Aboriginal_responses(5)","Flag_Multiple_Aboriginal_responses","Aboriginal_responses_nie(6)","Flag_Aboriginal_responses_nie","Non-Aboriginal_identity","Flag_Non-Aboriginal_identity"
"Work activity during the reference year","Average weeks worked in reference year",,35,,34.4,,34.4,,34.4,,0,,0,,0,,0,,44.5,
"Occupation","Total - Occupation - National Occupational Classification (NOC) 2016 - for the labour force population aged 15 years and over in private households - 25% sample data",68,625,,590,,590,,590,,0,,0,,0,,0,,40,
"Occupation","  Occupation - not applicable",69,80,,85,,85,,85,,0,,0,,0,,0,,0,
"Occupation","  All occupations",70,545,,505,,505,,505,,0,,0,,0,,0,,35,
"Occupation","    0 Management occupations",,30,,25,,30,,30,,0,,0,,0,,0,,0,
"Occupation","    1 Business, finance and administration occupations",,60,,60,,60,,60,,0,,0,,0,,0,,0,
"Occupation","    2 Natural and applied sciences and related occupations",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Occupation","    3 Health occupations",,65,,40,,40,,40,,0,,0,,0,,0,,25,
"Occupation","    4 Occupations in education, law and social, community and government services",,120,,115,,110,,110,,0,,0,,0,,0,,10,
"Occupation","    5 Occupations in art, culture, recreation and sport",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Occupation","    6 Sales and service occupations",,145,,145,,150,,145,,0,,0,,0,,0,,0,
"Occupation","    7 Trades, transport and equipment operators and related occupations",,100,,105,,105,,105,,0,,0,,0,,0,,0,
"Occupation","    8 Natural resources, agriculture and related production occupations",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Occupation","    9 Occupations in manufacturing and utilities",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Industry","Total - Industry - North American Industry Classification System (NAICS) 2012 for the labour Force population aged 15 years and over in private households - 25% sample data",71,630,,590,,590,,590,,0,,0,,0,,0,,40,
"Industry","  Industry - NAICS 2012 - not applicable",72,85,,85,,80,,80,,0,,0,,0,,0,,0,
"Industry","  All industry categories",73,545,,505,,505,,505,,0,,0,,0,,0,,40,
"Industry","    11 Agriculture, forestry, fishing and hunting",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Industry","    21 Mining, quarrying, and oil and gas extraction",,0,,0,,10,,0,,0,,0,,0,,0,,0,
"Industry","    22 Utilities",,25,,30,,25,,25,,0,,0,,0,,0,,0,
"Industry","    23 Construction",,50,,50,,45,,50,,0,,0,,0,,0,,0,
"Industry","    31-33 Manufacturing",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Industry","    41 Wholesale trade",,0,,0,,10,,0,,0,,0,,0,,0,,0,
"Industry","    44-45 Retail trade",,60,,60,,60,,60,,0,,0,,0,,0,,0,
"Industry","    48-49 Transportation and warehousing",,15,,15,,10,,15,,0,,0,,0,,0,,0,
"Industry","    51 Information and cultural industries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Industry","    52 Finance and insurance",,10,,10,,10,,0,,0,,0,,0,,0,,0,
"Industry","    53 Real estate and rental and leasing",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Industry","    54 Professional, scientific and technical services",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Industry","    55 Management of companies and enterprises",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Industry","    56 Administrative and support, waste management and remediation services",,10,,15,,15,,10,,0,,0,,0,,0,,0,
"Industry","    61 Educational services",,85,,85,,80,,85,,0,,0,,0,,0,,10,
"Industry","    62 Health care and social assistance",,165,,130,,130,,135,,0,,0,,0,,0,,30,
"Industry","    71 Arts, entertainment and recreation",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Industry","    72 Accommodation and food services",,15,,15,,15,,15,,0,,0,,0,,0,,0,
"Industry","    81 Other services (except public administration)",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Industry","    91 Public administration",,80,,75,,80,,80,,0,,0,,0,,0,,0,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",74,480,,440,,445,,440,,0,,0,,0,,0,,35,
"Place of work status","  Worked at home",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Place of work status","  Worked outside Canada",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Place of work status","  No fixed workplace address",,30,,30,,35,,35,,0,,0,,0,,0,,0,
"Place of work status","  Worked at usual place",,440,,405,,405,,400,,0,,0,,0,,0,,35,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",,440,,400,,400,,400,,0,,0,,0,,0,,35,
"Commuting destination","  Commute within census subdivision (CSD) of residence",,380,,345,,345,,350,,0,,0,,0,,0,,35,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,30,,30,,30,,30,,0,,0,,0,,0,,0,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",,15,,15,,10,,15,,0,,0,,0,,0,,0,
"Commuting destination","  Commute to a different province or territory",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",75,470,,435,,435,,430,,0,,0,,0,,0,,40,
"Main mode of commuting","  Car, truck, van - as a driver",,210,,210,,210,,210,,0,,0,,0,,0,,10,
"Main mode of commuting","  Car, truck, van - as a passenger",,30,,30,,30,,30,,0,,0,,0,,0,,0,
"Main mode of commuting","  Public transit",,0,,10,,10,,0,,0,,0,,0,,0,,0,
"Main mode of commuting","  Walked",,195,,170,,165,,165,,0,,0,,0,,0,,25,
"Main mode of commuting","  Bicycle",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Main mode of commuting","  Other method",,25,,25,,25,,25,,0,,0,,0,,0,,10,
"Language used at work"," Total - Language used at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data",76,715,,680,,680,,675,,0,,0,,0,,0,,40,
"Language used at work","  Official languages",,630,,595,,595,,595,,0,,0,,0,,0,,40,
"Language used at work","    English",,630,,595,,595,,595,,0,,0,,0,,0,,35,
"Language used at work","    French",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","  Non-official languages",,450,,450,,450,,445,,0,,0,,0,,0,,0,
"Language used at work","    Aboriginal languages",,450,,445,,445,,450,,0,,0,,0,,0,,0,
"Language used at work","      Algonquian languages",,450,,445,,445,,445,,0,,0,,0,,0,,0,
"Language used at work","        Blackfoot",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Cree-Montagnais languages",,450,,450,,445,,450,,0,,0,,0,,0,,0,
"Language used at work","          Atikamekw",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Montagnais (Innu)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Moose Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Naskapi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Northern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Plains Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Southern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Swampy Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Woods Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Cree, n.o.s.",,450,,445,,445,,445,,0,,0,,0,,0,,0,
"Language used at work","        Eastern Algonquian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Malecite",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Mi'kmaq",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Ojibway-Potawatomi languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Algonquin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Ojibway",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Oji-Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Ottawa (Odawa)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Algonquian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Northern Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Babine (Wetsuwet'en)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Beaver",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Carrier",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Chilcotin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Dene",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Dogrib (Tlicho)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Gwich'in",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Sarsi (Sarcee)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Sekani",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Slavey-Hare languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            North Slavey (Hare)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            South Slavey",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            Slavey, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Tahltan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            Kaska (Nahani)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            Tahltan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","          Tutchone languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            Northern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","            Southern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Haida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Inuit languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Inuinnaqtun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Inuktitut",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Inuvialuktun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Inuit languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Iroquoian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Cayuga",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Mohawk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Oneida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Kutenai",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Michif",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Salish languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Comox",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Halkomelem",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Lillooet",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Okanagan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Shuswap (Secwepemctsin)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Squamish",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Straits",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Thompson (Ntlakapamux)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Siouan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Dakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Stoney",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Siouan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Tlingit",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Tsimshian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Gitxsan (Gitksan)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Nisga'a",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Tsimshian",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Wakashan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Haisla",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Heiltsuk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Kwakiutl (Kwak'wala)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Nuu-chah-nulth (Nootka)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","        Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","      Aboriginal languages, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language used at work","    Non-Aboriginal languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Income statistics in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",77,1395,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"Income statistics in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,1255,,1220,,1220,,1220,,0,,0,,0,,0,,35,
"Income statistics in 2015","    Median total income in 2015 among recipients ($)",,13824,,12976,,12976,,12976,,0,,0,,0,,0,,43648,
"Income statistics in 2015","    Average total income in 2015 among recipients ($)",,20226,,19182,,19182,,19182,,0,,0,,0,,0,,53722,
"Income statistics in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,1255,,1220,,1220,,1220,,0,,0,,0,,0,,40,
"Income statistics in 2015","    Median after-tax income in 2015 among recipients ($)",,13824,,12976,,12976,,12976,,0,,0,,0,,0,,41728,
"Income statistics in 2015","    Average after-tax income in 2015 among recipients ($)",,19741,,18915,,18915,,18915,,0,,0,,0,,0,,46258,
"Income statistics in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,815,,780,,780,,780,,0,,0,,0,,0,,35,
"Income statistics in 2015","    Median market income in 2015 among recipients ($)",,9168,,8000,,8000,,8000,,0,,0,,0,,0,,62336,
"Income statistics in 2015","    Average market income in 2015 among recipients ($)",,20088,,18480,,18480,,18480,,0,,0,,0,,0,,55924,
"Income statistics in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,1100,,1065,,1065,,1070,,0,,0,,0,,0,,30,
"Income statistics in 2015","    Median government transfers in 2015 among recipients ($)",,3628,,4224,,4224,,4224,,0,,0,,0,,0,,373,
"Income statistics in 2015","    Average government transfers in 2015 among recipients ($)",,8240,,8415,,8415,,8415,,0,,0,,0,,0,,2548,
"Income statistics in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,805,,765,,765,,770,,0,,0,,0,,0,,35,
"Income statistics in 2015","    Median employment income in 2015 among recipients ($)",,9248,,8288,,8288,,8288,,0,,0,,0,,0,,62336,
"Income statistics in 2015","    Average employment income in 2015 among recipients ($)",,20218,,18584,,18584,,18584,,0,,0,,0,,0,,56027,
"Employment income statistics","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",78,1390,,1355,,1355,,1355,,0,,0,,0,,0,,35,
"Employment income statistics","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",79,255,,240,,240,,240,,0,,0,,0,,0,,15,
"Employment income statistics","    Median employment income in 2015 for full-year full-time workers ($)",80,35200,,33664,,33664,,33664,,0,,0,,0,,0,,76971,
"Employment income statistics","    Average employment income in 2015 for full-year full-time workers ($)",81,37683,,35573,,35573,,35573,,0,,0,,0,,0,,69323,
"Composition of total income in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 25% sample data",82,100,,100,,100,,100,,0,,0,,0,,0,,100,
"Composition of total income in 2015","  Market income (%)",83,64.2,,61.6,,61.6,,61.6,,0,,0,,0,,0,,104.1,
"Composition of total income in 2015","    Employment income (%)",84,63.5,,61.1,,60.7,,60.7,,0,,0,,0,,0,,104.3,
"Composition of total income in 2015","  Government transfers (%)",85,35.7,,38.5,,38.3,,38.3,,0,,0,,0,,0,,4.2,
"Total income groups in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 25% sample data",86,1390,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"Total income groups in 2015","  Without total income",,135,,135,,135,,135,,0,,0,,0,,0,,0,
"Total income groups in 2015","  With total income",,1255,,1220,,1220,,1220,,0,,0,,0,,0,,40,
"Total income groups in 2015","  Percentage with total income",,90.3,,90,,90,,90,,,...,,...,,...,,...,100,
"Total income groups in 2015","    Under $10,000 (including loss)",,550,,545,,550,,545,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $10,000 to $19,999",,245,,240,,235,,240,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $20,000 to $29,999",,140,,140,,140,,135,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $30,000 to $39,999",,110,,110,,110,,105,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $40,000 to $49,999",,85,,85,,80,,80,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $50,000 to $59,999",,40,,40,,35,,40,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $60,000 to $69,999",,30,,30,,30,,30,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $70,000 to $79,999",,25,,20,,15,,15,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $80,000 to $89,999",,10,,10,,10,,0,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $90,000 to $99,999",,0,,0,,0,,0,,,F,,F,,F,,F,,F
"Total income groups in 2015","    $100,000 and over",,15,,10,,10,,10,,,F,,F,,F,,F,,F
"Total income groups in 2015","      $100,000 to $149,999",,15,,10,,10,,10,,,F,,F,,F,,F,,F
"Total income groups in 2015","      $150,000 and over",,0,,0,,0,,0,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 25% sample data",87,1395,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"After-tax income groups in 2015","  Without after-tax income",,135,,135,,135,,135,,0,,0,,0,,0,,0,
"After-tax income groups in 2015","  With after-tax income",,1260,,1220,,1220,,1220,,0,,0,,0,,0,,40,
"After-tax income groups in 2015","  Percentage with after-tax income",,90.3,,90,,90,,90,,,...,,...,,...,,...,100,
"After-tax income groups in 2015","    Under $10,000 (including loss)",,550,,545,,545,,550,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $10,000 to $19,999",,250,,245,,240,,245,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $20,000 to $29,999",,140,,140,,140,,135,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $30,000 to $39,999",,110,,105,,105,,105,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $40,000 to $49,999",,90,,85,,85,,85,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $50,000 to $59,999",,40,,40,,40,,40,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $60,000 to $69,999",,40,,30,,25,,30,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $70,000 to $79,999",,25,,20,,20,,20,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","    $80,000 and over",,20,,15,,15,,15,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","      $80,000 to $89,999",,10,,10,,10,,10,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","      $90,000 to $99,999",,10,,0,,0,,10,,,F,,F,,F,,F,,F
"After-tax income groups in 2015","      $100,000 and over",,10,,10,,10,,10,,,F,,F,,F,,F,,F
"Employment income groups in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 25% sample data",88,1395,,1355,,1355,,1355,,0,,0,,0,,0,,35,
"Employment income groups in 2015","  Without employment income",,590,,590,,585,,590,,0,,0,,0,,0,,0,
"Employment income groups in 2015","  With employment income",,805,,770,,765,,770,,0,,0,,0,,0,,35,
"Employment income groups in 2015","  Percentage with employment income",,57.7,,56.8,,56.5,,56.8,,,...,,...,,...,,...,100,
"Employment income groups in 2015","    Under $5,000 (including loss)",,340,,335,,335,,340,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $5,000 to $9,999",,75,,70,,70,,70,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $10,000 to $19,999",,80,,75,,80,,75,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $20,000 to $29,999",,105,,100,,100,,95,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $30,000 to $39,999",,60,,65,,60,,60,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $40,000 to $49,999",,55,,50,,55,,55,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $50,000 to $59,999",,20,,25,,20,,20,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $60,000 to $69,999",,20,,15,,15,,20,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $70,000 to $79,999",,20,,10,,10,,10,,,F,,F,,F,,F,,F
"Employment income groups in 2015","    $80,000 and over",,25,,15,,20,,20,,,F,,F,,F,,F,,F
"Employment income groups in 2015","      $80,000 to $89,999",,0,,0,,0,,10,,,F,,F,,F,,F,,F
"Employment income groups in 2015","      $90,000 to $99,999",,0,,0,,0,,0,,,F,,F,,F,,F,,F
"Employment income groups in 2015","      $100,000 and over",,10,,10,,10,,10,,,F,,F,,F,,F,,F
"Income statistics in 2015 for economic families","Total - Income statistics in 2015 for economic families in private households - 25% sample data",89,410,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for economic families","  Median total income of economic families in 2015 ($)",,46208,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for economic families","  Average total income of economic families in 2015 ($)",,57333,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for economic families","  Median after-tax total income of economic families in 2015 ($)",,46106,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for economic families","  Average after-tax income of economic families in 2015 ($)",,56359,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for economic families","  Average family size of economic families",,5.1,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,15,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","  Median total income of couple economic families without children or other relatives in 2015 ($)",,46080,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","  Average total income of couple economic families without children or other relatives in 2015 ($)",,57717,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,45696,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,55082,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families without children or other relatives","  Average family size of couple economic families without children or other relatives",,2.3,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,250,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","  Median total income of couple economic families with children in 2015 ($)",,53120,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","  Average total income of couple economic families with children in 2015 ($)",,64617,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","  Median after-tax income of couple economic families with children in 2015 ($)",,52800,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","  Average after-tax income of couple economic families with children in 2015 ($)",,63650,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for couple economic families with children","  Average family size of couple economic families with children",,5.9,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,125,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","  Median total income of lone-parent economic families in 2015 ($)",,37760,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","  Average total income of lone-parent economic families in 2015 ($)",,43226,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","  Median after-tax income of lone-parent economic families in 2015 ($)",,37760,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","  Average after-tax income of lone-parent economic families in 2015 ($)",,42522,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for lone-parent economic families","  Average family size of lone-parent economic families",,4,,,...,,...,,...,,...,,...,,...,,...,,...
"Income statistics in 2015 for persons","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",90,55,,40,,40,,40,,0,,0,,0,,0,,15,
"Income statistics in 2015 for persons","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",91,17728,,11744,,11744,,11744,,0,,0,,0,,0,,77540,
"Income statistics in 2015 for persons","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",92,32098,,16094,,16094,,16094,,0,,0,,0,,0,,78967,
"Income statistics in 2015 for persons","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",93,17728,,11744,,11744,,11744,,0,,0,,0,,0,,66788,
"Income statistics in 2015 for persons","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",94,28322,,15254,,15254,,15254,,0,,0,,0,,0,,66591,
"Economic family income decile group","Total - Economic family income decile group for the population in private households - 25% sample data",95,2165,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"Economic family income decile group","  In the bottom half of the distribution",,1910,,1885,,1885,,1885,,0,,0,,0,,0,,25,
"Economic family income decile group","    In the bottom decile",,880,,875,,870,,875,,0,,0,,0,,0,,10,
"Economic family income decile group","    In the second decile",,475,,465,,465,,465,,0,,0,,0,,0,,10,
"Economic family income decile group","    In the third decile",,295,,290,,290,,290,,0,,0,,0,,0,,0,
"Economic family income decile group","    In the fourth decile",,155,,150,,150,,150,,0,,0,,0,,0,,0,
"Economic family income decile group","    In the fifth decile",,105,,105,,105,,105,,0,,0,,0,,0,,0,
"Economic family income decile group","  In the top half of the distribution",,250,,225,,225,,230,,0,,0,,0,,0,,25,
